Group,Day,Hour,Room,Course,Professor
ClassA,1,4,R48,Calculus,Nancy Harris
ClassA,5,1,R53,Physics,Valerie Salitan
ClassA,2,3,R48,Advanced Algorithms,Katya Henry
"ClassA, ClassA",1,2,R13,Machine Learning,Scott Cogan
ClassA,2,3,R13,Applied Chemistry,Katelyn Talty
ClassB,4,3,R50,Database Management,Rebecca Archer
ClassB,2,2,R53,Discrete Mathematics,Trevor Buckley
"ClassB, ClassB",2,3,R50,Software Design and Analysis,Jennifer Aaron
ClassB,5,3,R48,Computer Theory,Nathan Nichols
ClassB,4,4,R48,Network Analysis,Karter Caldwell
"ClassC, ClassC",1,4,R53,Computer Vision,Gillian Auger
"ClassC, ClassC",3,1,R53,Machine Learning,Scott Cogan
"ClassC, ClassC",3,1,R50,Visualizations,Rena Gregory
ClassC,1,1,R48,Advanced Algorithms,Katya Henry
ClassC,5,3,R53,Physics,Valerie Salitan
ClassD,3,3,R53,Applied Chemistry,Katelyn Talty
ClassD,5,4,R50,Computer Theory,Nathan Nichols
ClassD,2,1,R48,Network Analysis,Karter Caldwell
ClassD,3,2,R53,Calculus,Nancy Harris
ClassD,4,3,R13,Discrete Mathematics,Trevor Buckley
ClassD,4,3,R53,Advanced Algorithms,Katya Henry
